Designer,Category,Num of Years Since 1st Listed,Num of Years Listed,Founding Year,Age,Age (copy),Age Group,Listed?,Status,Rank,Year,Relative Age,Relative Age Group
Marc Jacobs,Premium,19,18,1984,40,40,20 to 50 Years,0,Exit,1,2005,21,5 to 10 Years
Stubbs & Wootton,Contemporary,19,1,1993,31,31,20 to 50 Years,0,Exit,2,2005,12,5 to 10 Years
Yves Saint Laurent Rive Gauche,Contemporary,19,1,1966,58,58,50 to 100 Years,0,Exit,4,2005,39,5 to 10 Years
Moschino Jeans,Contemporary,19,2,1987,37,37,20 to 50 Years,0,Exit,1,2006,19,5 to 10 Years
Paul Smith,Contemporary,19,2,1970,54,54,50 to 100 Years,0,Exit,2,2006,36,5 to 10 Years
Prada Sport,Premium,18,1,1968,56,56,50 to 100 Years,0,Exit,3,2006,38,5 to 10 Years
Tory By Trb,Contemporary,18,1,2004,20,20,10 to 20 Years,0,Exit,4,2006,2,5 to 10 Years
Vix,Contemporary,18,14,1998,26,26,20 to 50 Years,0,Exit,5,2006,8,5 to 10 Years
Y-3 Yohji Yamamoto,Contemporary,18,1,2002,22,22,20 to 50 Years,0,Exit,6,2006,4,5 to 10 Years
Yigal Azrouel,Contemporary,19,3,1998,26,26,20 to 50 Years,0,Exit,7,2006,8,5 to 10 Years
Agnona,Contemporary,17,9,1953,71,71,50 to 100 Years,0,Exit,1,2007,54,5 to 10 Years
Alberta Ferretti,Luxury,19,8,1980,44,44,20 to 50 Years,0,Exit,2,2007,27,5 to 10 Years
Andrew Gn,Premium,17,8,1956,68,68,50 to 100 Years,0,Exit,3,2007,51,5 to 10 Years
Anna Sui,Contemporary,19,5,1981,43,43,20 to 50 Years,0,Exit,4,2007,26,5 to 10 Years
Armani Jeans,Contemporary,18,2,1981,43,43,20 to 50 Years,0,Exit,5,2007,26,5 to 10 Years
Calvin Klein Collection,Premium,17,1,1997,27,27,20 to 50 Years,0,Exit,6,2007,10,5 to 10 Years
Christian Lacroix,Luxury,19,4,1987,37,37,20 to 50 Years,0,Exit,7,2007,20,5 to 10 Years
Class Roberto Cavalli,Contemporary,18,2,1970,54,54,50 to 100 Years,0,Exit,8,2007,37,5 to 10 Years
Dsquared2,Contemporary,17,5,1995,29,29,20 to 50 Years,0,Exit,9,2007,12,5 to 10 Years
Easton Pearson,Contemporary,18,2,1989,35,35,20 to 50 Years,0,Exit,10,2007,18,5 to 10 Years
G-Series,Contemporary,19,3,2003,21,21,20 to 50 Years,0,Exit,11,2007,4,5 to 10 Years
Ghurka,Contemporary,17,1,1975,49,49,20 to 50 Years,0,Exit,12,2007,32,5 to 10 Years
Jill Stuart,Contemporary,17,1,1988,36,36,20 to 50 Years,0,Exit,13,2007,19,5 to 10 Years
Judith Leiber,Premium,19,9,1963,61,178,50 to 100 Years,0,Exit,14,2007,44,5 to 10 Years
Karl Lagerfeld,Contemporary,17,1,1984,40,40,20 to 50 Years,0,Exit,15,2007,23,5 to 10 Years
Luella,Contemporary,19,3,1999,25,25,20 to 50 Years,0,Exit,16,2007,8,5 to 10 Years
Lulu Guinness,Contemporary,19,3,1989,35,35,20 to 50 Years,0,Exit,17,2007,18,5 to 10 Years
Marchesa,Premium,17,13,2005,19,19,10 to 20 Years,0,Exit,18,2007,2,5 to 10 Years
Moschino,Luxury,18,6,1983,41,41,20 to 50 Years,0,Exit,19,2007,24,5 to 10 Years
Norma Kamali,Contemporary,17,12,1967,57,57,50 to 100 Years,0,Exit,20,2007,40,5 to 10 Years
Philosophy Di Alberta Ferretti,Premium,18,7,2001,23,23,20 to 50 Years,0,Exit,21,2007,6,5 to 10 Years
Rene Caovilla,Premium,18,15,2004,20,20,10 to 20 Years,0,Exit,22,2007,3,5 to 10 Years
Sigerson Morrison,Contemporary,17,5,1991,33,33,20 to 50 Years,0,Exit,23,2007,16,5 to 10 Years
Strenesse Gabriele Strehle,Contemporary,18,2,1949,75,75,50 to 100 Years,0,Exit,24,2007,58,5 to 10 Years
Tse Cashmere,Contemporary,19,5,1989,35,35,20 to 50 Years,0,Exit,25,2007,18,5 to 10 Years
Bogner,Contemporary,16,9,1932,92,92,50 to 100 Years,0,Exit,1,2008,76,5 to 10 Years
Brian Atwood,Premium,17,7,1951,73,73,50 to 100 Years,0,Exit,2,2008,57,5 to 10 Years
Celine,Luxury,18,3,1945,79,79,50 to 100 Years,0,Exit,3,2008,63,5 to 10 Years
Diane Vonfurstenberg,Contemporary,19,4,1972,52,52,50 to 100 Years,0,Exit,4,2008,36,5 to 10 Years
Furla,Contemporary,18,3,1927,97,97,50 to 100 Years,0,Exit,5,2008,81,5 to 10 Years
Komarov,Contemporary,17,2,1997,27,27,20 to 50 Years,0,Exit,6,2008,11,5 to 10 Years
Lambertson Truex,Premium,19,4,1973,51,51,50 to 100 Years,0,Exit,7,2008,35,5 to 10 Years
Post Card,Contemporary,16,3,1957,67,67,50 to 100 Years,0,Exit,8,2008,51,5 to 10 Years
Rafe,Contemporary,18,10,1997,27,27,20 to 50 Years,0,Exit,9,2008,11,5 to 10 Years
Ralph Lauren Collection,Luxury,16,2,1967,57,57,50 to 100 Years,0,Exit,10,2008,41,5 to 10 Years
Vivienne Tam,Contemporary,16,1,1994,30,30,20 to 50 Years,0,Exit,11,2008,14,5 to 10 Years
Barbara Bui,Premium,17,3,1987,37,209,20 to 50 Years,0,Exit,1,2009,22,5 to 10 Years
Christian Lacroix,Luxury,19,4,1987,37,37,20 to 50 Years,0,Exit,2,2009,22,5 to 10 Years
Doo. Ri,Contemporary,15,1,2001,23,23,20 to 50 Years,0,Exit,3,2009,8,5 to 10 Years
Hogan,Contemporary,16,2,1986,38,38,20 to 50 Years,0,Exit,4,2009,23,5 to 10 Years
Isabella Fiore,Contemporary,19,6,1997,27,27,20 to 50 Years,0,Exit,5,2009,12,5 to 10 Years
Rich And Skinny,Contemporary,16,4,2006,18,18,10 to 20 Years,0,Exit,6,2009,3,5 to 10 Years
Rickie Freeman For Teri Jon,Contemporary,15,14,1979,45,45,20 to 50 Years,0,Exit,7,2009,30,5 to 10 Years
Thakoon,Contemporary,15,5,2004,20,20,10 to 20 Years,0,Exit,8,2009,5,5 to 10 Years
Valentino Red,Contemporary,17,3,2003,21,21,20 to 50 Years,0,Exit,9,2009,6,5 to 10 Years
Valentino Roma,Premium,19,5,1994,30,30,20 to 50 Years,0,Exit,10,2009,15,5 to 10 Years
Tod's,Luxury,19,7,1920,104,104,100 to 200 Years,0,Exit,15,2011,91,5 to 10 Years
Badgley Mischka,Contemporary,15,14,1988,36,36,20 to 50 Years,0,Exit,1,2010,22,5 to 10 Years
Donna Karan Collection,Premium,19,6,2000,24,24,20 to 50 Years,0,Exit,2,2010,10,5 to 10 Years
Halston,Contemporary,14,4,1962,62,62,50 to 100 Years,0,Exit,3,2010,48,5 to 10 Years
Issa London,Contemporary,15,4,2006,18,18,10 to 20 Years,0,Exit,4,2010,4,5 to 10 Years
Melissa Odabash,Contemporary,14,6,1995,29,29,20 to 50 Years,0,Exit,5,2010,15,5 to 10 Years
Moschino Cheap & Chic,Contemporary,19,7,1988,36,36,20 to 50 Years,0,Exit,6,2010,22,5 to 10 Years
Ports 1961,Contemporary,14,1,1961,63,63,50 to 100 Years,0,Exit,7,2010,49,5 to 10 Years
Pringle Of Scotland,Premium,15,3,2012,12,12,10 to 20 Years,0,Exit,8,2010,-2,Over 200 Years
Rag & Bone,Contemporary,15,14,2002,22,22,20 to 50 Years,0,Exit,9,2010,8,5 to 10 Years
Tracy Reese,Contemporary,18,10,1998,26,26,20 to 50 Years,0,Exit,10,2010,12,5 to 10 Years
Alberta Ferretti,Luxury,19,8,1980,44,44,20 to 50 Years,0,Exit,1,2011,31,5 to 10 Years
Black Halo,Contemporary,15,14,2002,22,22,20 to 50 Years,0,Exit,2,2011,9,5 to 10 Years
Isabella Fiore,Contemporary,19,6,1997,27,27,20 to 50 Years,0,Exit,3,2011,14,5 to 10 Years
Jack Rogers,Contemporary,13,8,1960,64,64,50 to 100 Years,0,Exit,4,2011,51,5 to 10 Years
Kate Spade,Contemporary,19,7,1993,31,31,20 to 50 Years,0,Exit,5,2011,18,5 to 10 Years
Liberty Of London,Premium,13,1,1999,25,25,20 to 50 Years,0,Exit,6,2011,12,5 to 10 Years
Marchesa,Premium,17,13,2005,19,19,10 to 20 Years,0,Exit,7,2011,6,5 to 10 Years
Mcq By Alexander Mcqueen,Contemporary,13,1,2006,18,18,10 to 20 Years,0,Exit,8,2011,5,5 to 10 Years
Moschino,Luxury,18,6,1983,41,41,20 to 50 Years,0,Exit,9,2011,28,5 to 10 Years
Pringle 1815,Contemporary,13,1,1815,209,209,Over 200 Years,0,Exit,10,2011,196,5 to 10 Years
Rachel Roy New York,Contemporary,13,1,2004,20,20,10 to 20 Years,0,Exit,11,2011,7,5 to 10 Years
Rebecca Minkoff,Contemporary,13,11,2005,19,19,10 to 20 Years,0,Exit,12,2011,6,5 to 10 Years
Richard Chai,Contemporary,13,1,2004,20,20,10 to 20 Years,0,Exit,13,2011,7,5 to 10 Years
Sigerson Morrison,Contemporary,17,5,1991,33,33,20 to 50 Years,0,Exit,14,2011,20,5 to 10 Years
Tod's For Ferrari,Contemporary,19,1,1978,46,46,20 to 50 Years,0,Exit,3,2005,27,5 to 10 Years
Vix,Contemporary,18,14,1998,26,26,20 to 50 Years,0,Exit,16,2011,13,5 to 10 Years
Zimmermann,Contemporary,13,11,1991,33,33,20 to 50 Years,0,Exit,17,2011,20,5 to 10 Years
Andrew Gn,Premium,17,8,1956,68,68,50 to 100 Years,0,Exit,1,2012,56,5 to 10 Years
Bogner,Contemporary,16,9,1932,92,92,50 to 100 Years,0,Exit,2,2012,80,5 to 10 Years
Cinzia Rocca,Contemporary,12,1,1953,71,71,50 to 100 Years,0,Exit,3,2012,59,5 to 10 Years
Mackage,Contemporary,13,7,1999,25,25,20 to 50 Years,0,Exit,4,2012,13,5 to 10 Years
Moschino Cheap & Chic,Contemporary,19,7,1988,36,36,20 to 50 Years,0,Exit,5,2012,24,5 to 10 Years
Pringle Of Scotland,Premium,15,3,2012,12,12,10 to 20 Years,0,Exit,6,2012,0,5 to 10 Years
Sofia Cashmere,Premium,12,8,1984,40,40,20 to 50 Years,0,Exit,7,2012,28,5 to 10 Years
Temperley London,Premium,17,6,2008,16,16,10 to 20 Years,0,Exit,8,2012,4,5 to 10 Years
